"Timestamp","Enter password to ensure data is saved.","Your name:","    a. talk on the phone","    b. manually interact with the phone. (e.g. send text messages)","    c. adjust settings of in-vehicle technology (eg: radio channel or song selection)","    d. read roadside advertisements","    e. chat with passengers","2. Do you play car racing video games?","3. Do you find you confuse right and left when giving driving instructions?","4. Do you start doing one thing at home and get distracted into doing something else (unintentionally)?","5. Do you generally use smart phones for navigation while driving?","    a. talk on the phone","    b. manually interact with the phone (eg: send text messages)","    c. adjust settings of in-vehicle technology (eg: radio channel or song selection)","    d. read roadside advertisements","    e. chat with passengers","    a. talk on the phone","    b. manually interact with the phone (eg: send text messages)","    c. adjust settings of in-vehicle technology (eg: radio channel or song selection)","    d. read roadside advertisements","    e. chat with passengers","    a. your phone is ringing","    b. you receive an alert from your phone (eg: incoming text messages)","    c. you listen","    d. there are roadside advertisements","    e. a passenger speaks to you","9. The ticket for a distracted driving offense is up to $150 with no demerit points in Pennsylvania. To limit distracted driving due to an electronic device, the penalty should :"
"2017/03/05 4:17:18 PM AST","142857","001","Sometimes","Rarely","Rarely","Rarely","Often","Sometimes","Rarely","Sometimes","Often","Neutral","Disagree","Neutral","Neutral","Agree","Neutral","Disagree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Disagree","Have demerit points added to the penalty"
"2017/03/05 7:10:25 PM AST","142857","002","Never","Rarely","Often","Rarely","Very often","Sometimes","Never","Sometimes","Very often","Neutral","Strongly disagree","Agree","Agree","Strongly agree","Agree","Disagree","Agree","Agree","Agree","Neutral","Agree","Disagree","Disagree","Neutral","Stay the same"
"2017/03/22 3:36:22 PM AST","142857","003","Sometimes","Sometimes","Often","Sometimes","Often","Very often","Rarely","Sometimes","Very often","Neutral","Disagree","Agree","Neutral","Agree","Neutral","Strongly disagree","Neutral","Disagree","Neutral","Disagree","Disagree","Disagree","Neutral","Neutral","Be increased for the monetary part"
"2017/03/22 4:25:02 PM AST","142857","004","Never","Never","Sometimes","Sometimes","Often","Rarely","Rarely","Often","Very often","Disagree","Strongly disagree","Strongly agree","Agree","Strongly agree","Strongly disagree","Strongly disagree","Neutral","Neutral","Agree","Agree","Neutral","Agree","Disagree","Agree","Have demerit points added to the penalty"
"2017/04/07 2:00:12 PM AST","142857","005","Rarely","Never","Sometimes","Sometimes","Often","Rarely","Rarely","Very often","Very often","Agree","Strongly disagree","Agree","Agree","Agree","Neutral","Strongly disagree","Disagree","Agree","Agree","Strongly agree","Strongly agree","Disagree","Disagree","Disagree","Be increased for the monetary part"
"2017/04/11 2:33:54 PM AST","142857","006","Sometimes","Rarely","Often","Often","Very often","Rarely","Often","Very often","Sometimes","Disagree","Disagree","Agree","Agree","Agree","Agree","Strongly disagree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Strongly disagree","Disagree","Disagree","It depends on the situation. If someone is driving 70 mph while texting, that's bad, but if they're texting while at a stop light, then that is ok."
"2017/08/04 2:35:23 PM AST","142857","007","Rarely","Never","Sometimes","Rarely","Sometimes","Never","Never","Sometimes","Never","Disagree","Strongly disagree","Disagree","Disagree","Agree","Disagree","Strongly disagree","Disagree","Disagree","Neutral","Strongly agree","Strongly agree","Disagree","Strongly agree","Neutral","Have demerit points added to the penalty"
"2017/08/04 3:33:28 PM AST","142857","008","Rarely","Never","Often","Rarely","Often","Rarely","Never","Sometimes","Rarely","Disagree","Strongly disagree","Disagree","Disagree","Neutral","Agree","Strongly disagree","Agree","Neutral","Neutral","Agree","Agree","Disagree","Disagree","Neutral","Have demerit points added to the penalty"
"2017/08/04 4:01:49 PM AST","142857","009","Sometimes","Never","Sometimes","Rarely","Often","Rarely","Rarely","Rarely","Sometimes","Disagree","Strongly disagree","Neutral","Neutral","Agree","Neutral","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Neutral","Disagree","Have demerit points added to the penalty"
"2017/08/04 4:39:41 PM AST","142857","010","Never","Never","Sometimes","Rarely","Often","Sometimes","Never","Sometimes","Very often","Strongly disagree","Strongly disagree","Neutral","Neutral","Agree","Strongly disagree","Strongly disagree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Stay the same"
"2017/08/09 2:24:14 PM AST","142857","011","Sometimes","Sometimes","Sometimes","Often","Very often","Rarely","Never","Very often","Very often","Strongly disagree","Strongly disagree","Neutral","Neutral","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Neutral","Strongly agree","Strongly agree","Disagree","Agree","Neutral","Stay the same"
"2017/08/09 2:42:13 PM AST","142857","012","Sometimes","Sometimes","Very often","Often","Very often","Sometimes","Never","Often","Very often","Disagree","Strongly disagree","Agree","Neutral","Neutral","Neutral","Disagree","Strongly agree","Neutral","Strongly agree","Agree","Agree","Strongly disagree","Strongly disagree","Strongly disagree","Be increased for the monetary part"
"2017/09/14 4:52:46 PM AST","142857","013","Rarely","Never","Very often","Sometimes","Often","Often","Rarely","Sometimes","Sometimes","Neutral","Strongly disagree","Agree","Agree","Agree","Agree","Strongly disagree","Agree","Agree","Agree","Agree","Strongly agree","Disagree","Neutral","Disagree","Have demerit points added to the penalty"
"2017/09/15 7:50:59 PM AST","142857","014","Rarely","Never","Often","Rarely","Very often","Sometimes","Sometimes","Very often","Often","Strongly disagree","Strongly disagree","Agree","Agree","Agree","Neutral","Strongly disagree","Strongly agree","Agree","Strongly agree","Agree","Agree","Neutral","Agree","Neutral","Be increased for the monetary and add demerit points"
"2017/09/28 3:27:12 PM AST","142857","015","Rarely","Never","Sometimes","Often","Very often","Sometimes","Never","Sometimes","Very often","Agree","Strongly disagree","Agree","Neutral","Strongly agree","Agree","Strongly disagree","Neutral","Neutral","Agree","Agree","Agree","Strongly disagree","Disagree","Disagree","Have demerit points added to the penalty"
"2017/10/13 2:12:10 PM AST","142857","016","Rarely","Rarely","Very often","Sometimes","Sometimes","Sometimes","Rarely","Very often","Very often","Disagree","Disagree","Agree","Neutral","Agree","Disagree","Strongly disagree","Neutral","Neutral","Agree","Agree","Agree","Neutral","Neutral","Agree","Be increased for the monetary and add demerit points"
"2017/10/13 5:08:36 PM AST","142857","017","Sometimes","Rarely","Sometimes","Often","Sometimes","Rarely","Never","Very often","Sometimes","Strongly agree","Strongly disagree","Agree","Agree","Agree","Agree","Strongly disagree","Agree","Agree","Agree","Agree","Neutral","Disagree","Disagree","Disagree","Stay the same"
"2017/10/20 9:25:54 AM AST","142857","018","Never","Never","Often","Rarely","Sometimes","Never","Never","Sometimes","Sometimes","Disagree","Strongly disagree","Agree","Neutral","Neutral","Neutral","Strongly disagree","Agree","Disagree","Neutral","Agree","Agree","Disagree","Neutral","Neutral","Have demerit points added to the penalty"
"2017/10/20 1:56:33 PM AST","142857","019","Often","Rarely","Very often","Often","Very often","Often","Never","Rarely","Very often","Agree","Strongly disagree","Agree","Agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","Neutral","Disagree","Disagree","Be increased for the monetary part"
"2017/10/26 2:52:56 PM AST","142857","020","Rarely","Rarely","Sometimes","Sometimes","Often","Never","Sometimes","Very often","Sometimes","Neutral","Strongly disagree","Agree","Agree","Strongly agree","Agree","Strongly disagree","Neutral","Agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","Disagree","Be increased for the monetary and add demerit points"
"2017/10/27 2:24:17 PM AST","142857","021","Sometimes","Rarely","Very often","Often","Often","Sometimes","Rarely","Often","Often","Agree","Strongly disagree","Agree","Agree","Agree","Agree","Strongly disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Stay the same"
"2017/11/02 1:24:43 PM AST","142857","022","Sometimes","Rarely","Sometimes","Often","Very often","Never","Rarely","Sometimes","Rarely","Agree","Strongly disagree","Disagree","Agree","Strongly agree","Agree","Strongly disagree","Disagree","Agree","Agree","Strongly agree","Strongly agree","Neutral","Disagree","Disagree","Be increased for the monetary and add demerit points"
"2017/11/09 2:16:23 PM AST","142857","023","Never","Never","Rarely","Never","Sometimes","Never","Never","Sometimes","Rarely","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Disagree","Neutral","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Be increased for the monetary and add demerit points"
"2017/11/10 10:21:14 AM AST","142857","024","Rarely","Rarely","Often","Sometimes","Often","Never","Never","Sometimes","Very often","Agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Neutral","Strongly disagree","Agree","Strongly agree","Strongly agree","Agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Be increased for the monetary and add demerit points"
"2017/11/10 2:22:38 PM AST","142857","025","Sometimes","Rarely","Often","Sometimes","Very often","Never","Rarely","Very often","Very often","Neutral","Strongly disagree","Agree","Neutral","Agree","Neutral","Strongly disagree","Disagree","Disagree","Agree","Agree","Strongly agree","Disagree","Agree","Disagree","Stay the same"
"2017/11/13 11:52:29 AM AST","142857","026","Never","Never","Never","Rarely","Sometimes","Very often","Never","Sometimes","Never","Strongly disagree","Strongly disagree","Disagree","Disagree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Disagree","Strongly agree","Agree","Neutral","Neutral","Agree","Be increased for the monetary and add demerit points"
"2017/11/13 12:27:12 PM AST","142857","027","Sometimes","Rarely","Sometimes","Sometimes","Very often","Rarely","Rarely","Sometimes","Often","Neutral","Strongly disagree","Disagree","Neutral","Agree","Neutral","Strongly disagree","Strongly disagree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Be increased for the monetary and add demerit points"
"2017/11/13 4:16:40 PM AST","142857","028","Sometimes","Rarely","Sometimes","Often","Very often","Very often","Never","Rarely","Often","Strongly agree","Neutral","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly disagree","Disagree","Strongly disagree","Be increased for the monetary part"
"2017/11/27 3:31:32 PM AST","142857","029","Sometimes","Never","Rarely","Sometimes","Often","Never","Never","Very often","Often","Strongly agree","Strongly disagree","Neutral","Agree","Strongly agree","Strongly agree","Strongly disagree","Disagree","Agree","Strongly agree","Neutral","Agree","Strongly disagree","Disagree","Disagree","Have demerit points added to the penalty"
"2017/11/29 3:36:42 PM AST","142857","030","Sometimes","Rarely","Very often","Often","Very often","Sometimes","Never","Very often","Very often","Agree","Disagree","Agree","Agree","Strongly agree","Agree","Strongly disagree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Disagree","Disagree","Strongly disagree","Be increased for the monetary part"